Pos,team,Pld,W,D,L,GF,GA,GD,Pts,season,total_GKs,short_GKs,short_goal_pc,long_GKs,long_GK_pc,avg_GK_dist,all_scsfl_GKs,shrt_scsfl_GKs,lng_scsfl_GKs,short_avg_x_prog,fllw_shrt_x_rtrn,short_agg_gains,long_avg_x_prog,fllw_long_x_rtrn,long_agg_gains,GKs_distnce_std,ttl_avg_num_passes,ttl_avg_chain_speed,scsfl_prgpass_pcnt,scsfl_prgpass_avg_dist,ttl_prgpass_pcnt,ttl_prgpass_avg_dist,short_avg_num_passes,long_avg_num_passes,shrt_all_prgpass_pcnt,long_all_prgpass_pcnt,shrt_scsfl_prgpass_pcnt,long_scsfl_prgpass_pcnt,shrt_all_prgpass_avg_dist,long_all_prgpass_avg_dist,shrt_scsfl_prgpass_avg_dist,long_scsfl_prgpass_avg_dist,short_end_shot,short_shot_pc,long_end_shot,long_shot_pc,short_end_goal,short_GK_pc,long_end_goal,long_goal_pc,short_avg_xg,long_avg_xg,fllw_shrt_shots_rtrn,fllw_shrt_shots_pc,fllw_long_shots_rtrn,fllw_long_shots_pc,fllw_shrt_goals_rtrn,fllw_shrt_goals_pc,fllw_long_goals_rtrn,fllw_long_goals_pc,fllw_shrt_avg_xg_rtrn,fllw_long_avg_xg_rtrn,short_gains_map,long_gains_map,short_ntwrk_map,long_ntwrk_map,GK_pizza_plot,name_display
1,Chelsea FCW,15,12,3,0,47,11,36,39,2019/20,86,41,4.88,45,52.33,32.82,69,41,28,83.19,52.772,30.42,74.8,34.207,40.59,19.138,6.0698,4.482,10.97,36.49,22.38,9.24,7.024,4.222,0.1597,32.11,0.0729,17.65,36.61,37.03,36.23,36.69,6,14.63,2,4.44,2,47.67,0,0.0,0.0955,0.1268,5,12.2,5,11.11,0,0.0,1,2.22,0.0604,0.035,Chelsea FCW | 2019/20,Chelsea FCW | 2019/20,Chelsea FCW | 2019/20,Chelsea FCW | 2019/20,Chelsea FCW | 2019/20,Chelsea FCW | 2019/20
2,Manchester City WFC,16,13,1,2,39,9,30,40,2019/20,112,59,0.0,53,47.32,33.0,85,59,26,72.03,50.959,21.07,74.58,39.275,35.3,22.782,6.3125,4.0176,13.58,32.72,24.04,4.66,7.678,3.698,0.1567,43.37,0.0874,27.61,31.09,39.64,28.22,36.85,3,5.08,4,7.55,0,52.68,1,1.89,0.1576,0.06,8,13.56,5,9.43,2,3.39,1,1.89,0.0471,0.1092,Manchester City WFC | 2019/20,Manchester City WFC | 2019/20,Manchester City WFC | 2019/20,Manchester City WFC | 2019/20,Manchester City WFC | 2019/20,Manchester City WFC | 2019/20
3,Arsenal WFC,15,12,0,3,40,13,27,36,2019/20,117,69,4.35,48,41.03,28.84,91,69,22,69.37,48.197,21.17,64.73,55.226,9.5,21.009,7.0769,4.0363,9.53,29.98,16.97,5.59,8.275,3.938,0.1313,28.57,0.0771,16.42,29.08,39.75,26.79,35.64,7,10.14,4,8.33,3,58.97,2,4.17,0.1067,0.1489,12,17.39,14,29.17,2,2.9,0,0.0,0.0894,0.0791,Arsenal WFC | 2019/20,Arsenal WFC | 2019/20,Arsenal WFC | 2019/20,Arsenal WFC | 2019/20,Arsenal WFC | 2019/20,Arsenal WFC | 2019/20
4,Manchester United,14,7,2,5,24,12,12,23,2019/20,102,42,0.0,60,58.82,35.7,67,42,25,65.4,44.98,20.42,66.15,43.215,22.94,21.895,4.4902,5.7932,15.13,32.38,27.48,5.6,5.976,2.55,0.1554,47.06,0.0829,32.18,34.24,38.71,29.47,34.25,1,2.38,2,3.33,0,41.18,0,0.0,0.0391,0.0794,4,9.52,5,8.33,1,2.38,0,0.0,0.0783,0.0713,Manchester United | 2019/20,Manchester United | 2019/20,Manchester United | 2019/20,Manchester United | 2019/20,Manchester United | 2019/20,Manchester United | 2019/20
5,Reading WFC,14,6,3,5,21,24,−3,21,2019/20,112,62,0.0,50,44.64,32.55,76,62,14,72.39,42.423,29.97,73.2,40.351,32.85,24.384,4.3839,4.9856,18.39,31.06,34.97,7.56,5.0,2.38,0.2581,58.82,0.1434,36.36,34.12,42.47,26.46,39.11,5,8.06,1,2.0,0,55.36,1,2.0,0.077,0.2276,7,11.29,7,14.0,4,6.45,0,0.0,0.2792,0.0348,Reading WFC | 2019/20,Reading WFC | 2019/20,Reading WFC | 2019/20,Reading WFC | 2019/20,Reading WFC | 2019/20,Reading WFC | 2019/20
6,Everton LFC,14,6,1,7,21,21,0,19,2019/20,157,92,1.09,65,41.4,26.18,119,90,29,66.76,46.79,19.97,68.64,43.094,25.55,20.688,4.5223,5.0485,11.75,32.45,23.89,7.79,4.88,2.754,0.1648,42.46,0.0815,25.0,33.79,38.73,28.46,37.25,7,7.61,2,3.08,1,58.6,1,1.54,0.0487,0.0772,19,20.65,8,12.31,0,0.0,0,0.0,0.0702,0.0696,Everton LFC | 2019/20,Everton LFC | 2019/20,Everton LFC | 2019/20,Everton LFC | 2019/20,Everton LFC | 2019/20,Everton LFC | 2019/20
7,Tottenham Hotspur Women,15,6,2,7,15,24,−9,20,2019/20,160,79,0.0,81,50.62,32.74,112,79,33,70.66,45.154,25.51,69.28,40.934,28.35,24.434,4.5187,5.1607,11.94,38.82,25.38,7.28,5.696,2.617,0.1733,42.45,0.0782,24.39,35.21,45.35,34.7,42.81,3,3.8,6,7.41,0,49.38,0,0.0,0.0304,0.0554,14,17.72,11,13.58,2,2.53,2,2.47,0.0912,0.1122,Tottenham Hotspur Women | 2019/20,Tottenham Hotspur Women | 2019/20,Tottenham Hotspur Women | 2019/20,Tottenham Hotspur Women | 2019/20,Tottenham Hotspur Women | 2019/20,Tottenham Hotspur Women | 2019/20
8,West Ham United LFC,14,5,1,8,19,34,−15,16,2019/20,142,50,0.0,92,64.79,41.39,81,50,31,66.82,45.416,21.4,71.57,40.333,31.24,25.606,4.6408,4.9769,14.21,37.53,30.21,7.84,5.5,3.163,0.1527,44.33,0.0685,23.81,35.48,42.52,34.76,38.57,4,8.0,2,2.17,0,35.21,1,1.09,0.1474,0.2135,13,26.0,7,7.61,0,0.0,2,2.17,0.0606,0.0517,West Ham United LFC | 2019/20,West Ham United LFC | 2019/20,West Ham United LFC | 2019/20,West Ham United LFC | 2019/20,West Ham United LFC | 2019/20,West Ham United LFC | 2019/20
9,Brighton & Hove Albion WFC,16,3,4,9,11,30,−19,13,2019/20,140,68,0.0,72,51.43,31.59,104,66,38,65.25,42.287,22.96,62.8,45.835,16.96,22.061,3.6071,6.108,19.32,37.27,31.5,10.71,3.721,2.792,0.1937,46.77,0.0745,40.19,36.64,40.28,32.21,38.92,4,5.88,1,1.39,0,48.57,0,0.0,0.1078,0.0716,8,11.76,10,13.89,2,2.94,0,0.0,0.1179,0.0406,Brighton & Hove Albion WFC | 2019/20,Brighton & Hove Albion WFC | 2019/20,Brighton & Hove Albion WFC | 2019/20,Brighton & Hove Albion WFC | 2019/20,Brighton & Hove Albion WFC | 2019/20,Brighton & Hove Albion WFC | 2019/20
10,Bristol City WFC,14,2,3,9,9,38,−29,9,2019/20,206,58,0.0,148,71.84,45.73,116,58,58,64.87,32.857,32.01,68.81,43.297,25.51,21.336,3.5388,6.6038,19.19,40.08,36.9,6.74,5.017,2.264,0.1581,55.22,0.0542,40.38,41.22,43.78,35.42,41.04,0,0.0,5,3.38,0,28.16,1,0.68,,0.0842,14,24.14,20,13.51,2,3.45,3,2.03,0.1098,0.1292,Bristol City WFC | 2019/20,Bristol City WFC | 2019/20,Bristol City WFC | 2019/20,Bristol City WFC | 2019/20,Bristol City WFC | 2019/20,Bristol City WFC | 2019/20
11,Birmingham City WFC,13,2,1,10,5,23,−18,7,2019/20,115,54,1.85,61,53.04,36.03,82,54,28,63.86,41.665,22.2,65.34,42.034,23.31,25.904,4.0609,3.8747,11.29,36.02,24.64,4.81,4.574,2.803,0.1579,37.43,0.0817,17.65,33.53,46.53,26.64,44.88,6,11.11,4,6.56,1,46.96,0,0.0,0.0456,0.0418,4,7.41,10,16.39,1,1.85,2,3.28,0.0819,0.148,Birmingham City WFC | 2019/20,Birmingham City WFC | 2019/20,Birmingham City WFC | 2019/20,Birmingham City WFC | 2019/20,Birmingham City WFC | 2019/20,Birmingham City WFC | 2019/20
12,Liverpool WFC,14,1,3,10,8,20,−12,6,2019/20,146,33,0.0,113,77.4,45.85,61,33,28,69.69,36.585,33.1,70.83,41.598,29.23,19.531,3.6644,6.6124,19.09,39.12,40.83,9.22,4.606,2.513,0.1711,53.52,0.0603,31.2,35.34,41.58,35.78,39.72,1,3.03,7,6.19,0,22.6,0,0.0,0.021,0.0537,6,18.18,18,15.93,0,0.0,1,0.88,0.0344,0.0825,Liverpool WFC | 2019/20,Liverpool WFC | 2019/20,Liverpool WFC | 2019/20,Liverpool WFC | 2019/20,Liverpool WFC | 2019/20,Liverpool WFC | 2019/20
