season,Pos,team,Pts,GKs_distnce_std,short_avg_num_passes,long_avg_num_passes,shrt_all_prgpass_pcnt,long_all_prgpass_pcnt,shrt_scsfl_prgpass_pcnt,long_scsfl_prgpass_pcnt,shrt_all_prgpass_avg_dist,long_all_prgpass_avg_dist,shrt_scsfl_prgpass_avg_dist,long_scsfl_prgpass_avg_dist
2018/19,1,Arsenal WFC,54,18.184,6.27,4.207,17.47,20.83,10.78,20.83,31.19,32.55,24.0,32.55
2018/19,2,Manchester City WFC,47,20.868,6.831,3.09,18.44,27.89,11.61,27.89,33.72,36.99,31.23,36.99
2018/19,3,Chelsea FCW,42,20.577,6.239,4.221,15.68,24.14,7.44,24.14,35.21,32.75,31.24,32.75
2018/19,4,Birmingham City WFC,40,24.253,7.089,3.049,12.23,25.18,5.2,25.18,38.71,33.69,31.08,33.69
2018/19,5,Reading WFC,27,20.514,5.789,3.226,20.91,31.1,10.45,31.1,34.53,39.79,34.57,39.79
2018/19,6,Bristol City WFC,25,18.925,4.614,2.314,27.09,33.33,11.69,33.33,38.47,41.68,35.19,41.68
2018/19,7,West Ham United LFC,23,24.626,7.622,2.777,16.03,28.41,9.0,28.41,29.25,42.18,25.03,42.18
2018/19,8,Liverpool WFC,22,16.739,5.12,2.75,20.31,32.24,16.19,32.24,33.94,38.81,31.93,38.81
2018/19,9,Brighton & Hove Albion WFC,16,21.587,4.402,2.451,14.68,27.78,6.5,27.78,37.95,38.08,31.37,38.08
2018/19,10,Everton LFC,12,19.931,4.791,2.991,23.68,36.1,11.65,36.1,37.5,35.87,29.74,35.87
2018/19,11,Yeovil Town LFC,âˆ’3,9.286,2.667,2.443,12.5,44.37,0.0,44.37,45.0,41.6,,41.6
2019/20,1,Chelsea FCW,39,19.138,7.024,4.222,0.1597,32.11,0.0729,17.65,36.61,37.03,36.23,36.69
2019/20,2,Manchester City WFC,40,22.782,7.678,3.698,0.1567,43.37,0.0874,27.61,31.09,39.64,28.22,36.85
2019/20,3,Arsenal WFC,36,21.009,8.275,3.938,0.1313,28.57,0.0771,16.42,29.08,39.75,26.79,35.64
2019/20,4,Manchester United,23,21.895,5.976,2.55,0.1554,47.06,0.0829,32.18,34.24,38.71,29.47,34.25
2019/20,5,Reading WFC,21,24.384,5.0,2.38,0.2581,58.82,0.1434,36.36,34.12,42.47,26.46,39.11
2019/20,6,Everton LFC,19,20.688,4.88,2.754,0.1648,42.46,0.0815,25.0,33.79,38.73,28.46,37.25
2019/20,7,Tottenham Hotspur Women,20,24.434,5.696,2.617,0.1733,42.45,0.0782,24.39,35.21,45.35,34.7,42.81
2019/20,8,West Ham United LFC,16,25.606,5.5,3.163,0.1527,44.33,0.0685,23.81,35.48,42.52,34.76,38.57
2019/20,9,Brighton & Hove Albion WFC,13,22.061,3.721,2.792,0.1937,46.77,0.0745,40.19,36.64,40.28,32.21,38.92
2019/20,10,Bristol City WFC,9,21.336,5.017,2.264,0.1581,55.22,0.0542,40.38,41.22,43.78,35.42,41.04
2019/20,11,Birmingham City WFC,7,25.904,4.574,2.803,0.1579,37.43,0.0817,17.65,33.53,46.53,26.64,44.88
2019/20,12,Liverpool WFC,6,19.531,4.606,2.513,0.1711,53.52,0.0603,31.2,35.34,41.58,35.78,39.72
2020/21,1,Chelsea FCW,57,23.698,7.19,4.759,0.1766,31.52,0.0961,18.72,28.78,36.86,26.68,35.09
2020/21,2,Manchester City WFC,55,18.407,7.022,4.8,0.1236,23.96,0.0704,14.47,28.44,40.41,25.18,40.17
2020/21,3,Arsenal WFC,48,17.785,6.292,3.315,0.1573,37.43,0.0795,24.8,31.22,35.74,28.41,33.7
2020/21,4,Manchester United,47,23.443,6.244,2.545,0.1191,48.81,0.0466,41.94,33.25,39.88,27.47,36.42
2020/21,5,Everton LFC,32,22.733,5.921,3.571,0.1662,39.43,0.0918,20.0,34.68,41.55,31.4,36.44
2020/21,6,Brighton & Hove Albion WFC,27,21.526,4.448,3.347,0.1663,44.1,0.0961,32.8,33.28,37.5,29.56,36.39
2020/21,7,Reading WFC,24,22.046,5.391,3.028,0.1768,44.19,0.0961,28.57,34.27,40.83,29.03,37.85
2020/21,8,Tottenham Hotspur Women,20,21.638,5.0,3.17,0.1635,40.6,0.0992,23.03,33.17,41.24,29.15,37.81
2020/21,9,West Ham United LFC,15,21.818,5.25,2.779,0.1648,45.5,0.0616,35.05,34.0,42.2,32.49,40.91
2020/21,10,Aston Villa,15,20.138,4.766,2.584,0.1362,46.53,0.0484,32.02,35.44,41.01,32.85,40.96
2020/21,11,Birmingham City WFC,14,26.656,4.368,2.06,0.1886,58.05,0.0826,36.36,37.29,50.94,35.02,48.0
2020/21,12,Bristol City WFC,12,20.771,4.5,2.202,0.1877,56.77,0.0711,36.46,37.7,42.73,35.33,39.49
